_id,Lokasi,Kecamatan,Kelurahan,Rayon,Luas genangan,Tinggi genangan,Lama genangan,Skor Luas Genangan,Skor Tinggi Genangan,Skor Lama Genangan
115,Jl. Nambangan,Bulak,Kedung Cowek,Rayon Gubeng,0.884641,15,40,75,50,25
116,Jl. Raya Gubeng / Jl. Sumatera,Gubeng,Gubeng,Rayon Gubeng,0.378756,4,5,50,0,0
117,Jl. Jawa,Gubeng,Gubeng,Rayon Gubeng,0.266988,4,5,50,0,0
118,Jl. Pucang Anom Timur,Gubeng,Kertajaya,Rayon Gubeng,10,10,13,100,25,0
119,Jl. Pucang Jajar,Gubeng,Kertajaya,Rayon Gubeng,15.3,14,16,100,50,0
120,Jl. Karang Menjangan,Gubeng,Mojo,Rayon Gubeng,0.634641,17,16,75,50,0
121,Jl. Kyai Tambak Deres,Kenjeran,Bulak Banteng,Rayon Gubeng,0.277082,10,16,50,25,0
122,Jl. Bulak Kenjeran,Kenjeran,Bulak Banteng,Rayon Gubeng,0.14998,4,5,50,0,0
123,Jl. Kanwa,Wonokromo,Darmo,Rayon Genteng,0.147748,9,15,50,25,0
124,Jl. Bulak Banteng Kidul,Kenjeran,Bulak Banteng,Rayon Gubeng,0.30738,4,5,50,0,0
125,Jl. Randu,Kenjeran,Sidotopo Wetan,Rayon Gubeng,0.792657,30,90,75,50,50
126,Jl. Kedinding Lor,Kenjeran,Tanah Kali Kedinding,Rayon Gubeng,0.312514,9,40,50,25,25
127,Kp. Pogot,Kenjeran,Tanah Kali Kedinding,Rayon Gubeng,0.695793,4,16,75,0,0
128,Jl. Kedung Mangu Timur,Kenjeran,Tanah Kali Kedinding,Rayon Gubeng,0.538027,9,16,75,25,0
129,Jl. Kalijudan (Perbatasan Ploso),Mulyorejo,Kalijudan,Rayon Gubeng,0.37517,6,58,50,25,25
130,Perumahan Mulyosari,Mulyorejo,Kalisari,Rayon Gubeng,0.858418,15,58,75,50,25
131,Jl. Raya ITS / Bundaran ITS,Mulyorejo,Manyar Sabrangan,Rayon Gubeng,0.309029,8,16,50,25,0
132,Kp. Manyar Sabrangan (Mleto),Mulyorejo,Manyar Sabrangan,Rayon Gubeng,0.389129,9,16,50,25,0
133,Jl. Slompretan,Pabean Cantikan,Bongkaran,Rayon Gubeng,0.205651,4,5,50,0,0
134,Jl. Karang Tembok (Sisi Barat),Semampir,Pegirian,Rayon Gubeng,0.338543,9,16,50,25,0
135,Jl. Sidorame,Semampir,Sidotopo,Rayon Gubeng,0.683436,10,16,75,25,0
